a	1
aa	2
aalborg	1
aaron	1
ab	2
abb	1	2
abbe	2
abbey	1
abborre	2
abbot	1
abbott	1
abc	1	2
abdul	1
abdullah	1	1
abel	1
aberdeen	1	2
abf	1	2
abisko	1
abnormt	1	1
abonnemang	1	3
abonnemanget	1	3
abonnent	1	2
abonnenter	1	2
abort	1	1
aborten	1	1
aborter	1	1
abortfrågan	2	1
abortmotståndare	2	1
abraham	2
abrahams	2
abrahamsson	2
abrupt	1	1
abs	1	2
absint	1	1
absolut	1	2
absoluta	1	2
absolute	1	2
absorbera	1	2
absorberar	1	2
absorberas	1	2
abstinens	1	2
abstinensen	1	2
abstract	1
abstrakt	1	1
abstrakta	1	1
absurd	1	1
absurda	1	1
absurdum	2	1
absurt	1	1
abu	1
ac	2
acapulco	1	2
acceleration	1	4
accelerera	1	3
accelererar	1	3
accent	1	1
accept	1	1
acceptabel	1	2
acceptabelt	1	2
acceptabla	1	2
acceptans	1	2
acceptera	1	2
accepterade	1	2
accepterades	1	2
accepterande	1	2
accepterar	1	2
accepteras	1	2
accepterat	1	2
access	1	1
accessoarer	1	3
aceton	1	2	o
achilles	2	1
ack	1
ackompanjeras	1	3
ackord	1	1	o
ackreditering	1	3
ackumulerade	1	3
acne	2
action	1
actionfilm	2
actionfilmer	2
active	1
ad	2
ada	2
adam	2
adapter	1	1
addams	1
adde	2
addera	1	1
addison	1
addition	1	2
adekvat	1	2
adel	1
adelaide	1
adele	1	1
adeln	1
adelsman	2
adelsmän	2
adidas	1	1
adjektiv	2
adjungerad	1	2
adjutant	1	2
adler	1
adlig	2
adliga	2
administration	1	4
administrationen	1	4
administrativ	1	4
administrativa	1	4
administrativt	1	4
administratör	1	4
administratörer	1	4
administrera	1	3
administrerar	1	3
administreras	1	3
adnan	1
adobe	1	1	o
adolf	1
adolfs	1
adolfsson	2
adonis	1	1
adoptera	1	2
adopterade	1	2
adopterar	1	2
adopterat	1	2
adoption	1	2
adrenalin	1	3
adrenalinet	1	3
adress	1	1
adressen	1	1
adresser	1	1
adressera	1	2
adresserat	1	2
adresserna	1	1
adressändring	2	1
adrian	1
adriana	2	2
adrienne	1	2
adsl	2	2
advent	1	1
adverb	1	1
advokat	1	2
advokatbyrå	2	2
advokatbyrån	2	2
advokaten	1	2
advokater	1	2
advokaterna	1	2
advokatsamfundet	2	2
aeg	1	2
aero	1
af	2
affe	2
affekt	1	1
affisch	1	1
affischen	1	1
affischer	1	1
affischerna	1	1
affär	1	1
affären	1	1
affärer	1	1
affärerna	1	1
affärs	1	1
affärsidé	2	1
affärsidéer	2	1
affärskvinna	2	1
affärsman	2	1
affärsmannen	2	1
affärsmän	2	1
affärspartner	2	1
affärsresa	2	1
affärsutveckling	2	1
affärsvärlden	2	1
afghan	1	1
afghanen	1	1
afghaner	1	1
afghanerna	1	1
afghanistan	1	3
afghanistans	1	3
afghansk	1	1
afghanska	1	1
africa	1
african	1
afrika	1
afrikan	1	2
afrikaner	1	2
afrikanerna	1	2
afrikansk	1	2
afrikanska	1	2
afrikanskt	1	2
afroamerikaner	2
afrodite	2	2
afton	2
aftonbladet	2
aftonbladets	2
afzelius	1	1
ag	2
aga	2
agar	2
agatha	2	1
agda	2
age	2
agency	1
agenda	2	1
agendan	2	1
agendor	2	1
agent	1	1
agenten	1	1
agenter	1	1
agenterna	1	1
agents	1	1
agentur	1	2
agera	1	1
agerade	1	1
agerande	1	1
agerandet	1	1
agerar	1	1
agerat	1	1
agg	1
aggression	1	2
aggressioner	1	2
aggressiv	1	2
aggressiva	1	2
aggressivare	1	2
aggressivitet	1	4
aggressivt	1	2
agil	1	1
agila	1	1
agile	1	1
agnes	1
agneta	2	1
agrell	1	1
aguilar	1	1
ah	1
aha	1	1
ahl	1
ahlberg	2
ahlgren	2
ahlgrens	2
ahlin	1	1
ahlström	2
ahmed	1
aho	1
ai	2
aids	1
aif	1	2
aik	2
ain	1
aina	2
air	1
airbus	1
aires	1
airlines	1
airport	1
airways	1
aisha	2
aj	1
aja	2
ajax	1
akademi	1	3
akademibokhandeln	2	3
akademien	1	3
akademiens	1	3
akademiker	1	2
akademin	1	3
akademins	1	3
akademisk	1	2
akademiskt	1	2
akalla	2
aki	1
akilles	1	1
akropolis	1	1	o
akt	1
akta	2
akten	1
akter	1
aktern	1
akterna	2
aktie	1
aktiebolag	2
aktiebolaget	2
aktiekursen	2
aktiemarknaden	2
aktien	1
aktier	1
aktierna	1
aktieägare	2
aktieägarna	2
aktion	1	1
aktionen	1	1
aktioner	1	1
aktiv	1
aktiva	1
aktivera	1	2
aktiverad	1	2
aktiverade	1	2
aktiverar	1	2
aktiveras	1	2
aktiverat	1	2
aktivering	1	2
aktivism	1	2
aktivist	1	2
aktivisten	1	2
aktivister	1	2
aktivisterna	1	2
aktivitet	1	3
aktiviteten	1	3
aktiviteter	1	3
aktiviteterna	1	3
aktivitetsstöd	2	3
aktivt	1
aktning	2
aktualitet	1	4
aktuell	1	2
aktuella	1	2
aktuellt	1	2
aktör	1	1
aktören	1	1
aktörer	1	1
aktörerna	1	1
akustik	1	2
akustisk	1	1
akustiska	1	1
akustiskt	1	1
akut	1	1
akuta	1	1
akuten	1	1
akutmottagning	2	1
akutmottagningar	2	1
akutmottagningen	2	1
akutsjukhus	2	1
akutvård	2	1
akvarell	1	2
akvareller	1	2
al	1
ala	2
alabama	1	2
aladdin	1
alain	1	1
alan	1	1
alanya	1	1
alarm	1	1
alarmerande	1	2
alarmet	1	1
alba	2
alban	1
albaner	1	1
albanien	1	1
albano	1	1
albanska	1	1
albatross	2
albert	1
alberta	1	1
alberto	1	1
albin	1
albino	1	1
album	2
albumen	2
albumet	2
alby	1
alcatraz	1
aldo	1
aldrig	2
ale	2
alejandro	1	2
aleksander	1	2
alen	1
alert	1	1
alex	1
alexander	1	2
alexanders	1	2
alexandersson	2	2
alexandra	2	2
alexandre	1	2
alexandria	2	3
alexis	1	1
alf	1
alfa	2
alfabet	2
alfabetet	2
alfabetisk	1	2
alfons	1
alfonso	1	1
alfredo	1	1
alfta	2
alg	1
algarve	2	1
algebra	1
alger	1	1
algeriet	1	2
algoritm	1	2
algoritmen	1	2
algoritmer	1	2
algot	1
ali	1
alias	1
alibi	1
alicante	2	2
alice	1
alicia	1	1
alina	2	1
alingsås	1	2
alis	1
alison	1
alistair	1
alkis	1
alkisar	1
alkohol	2
alkoholdrycker	2	2	o
alkoholen	2
alkoholfri	2	2	o
alkoholfria	2	2	o
alkoholfritt	2	2	o
alkoholhalt	2	2	o
alkoholhaltiga	2	2	o
alkoholiserad	1	4
alkoholiserade	1	4
alkoholism	1	3
alkoholist	1	3
alkoholister	1	3
alkoholkonsumtion	2	2	o
alkohollagen	2	2	o
alkoholmissbruk	2	2	o
alkoholpolitik	2	2	o
alkoholproblem	2	2	o
all	1
alla	1
allah	1	1
allahs	1	1
allan	1
allard	1	1
allas	2
alldeles	2
alle	2
allemansrätten	2
allen	1	1
allena	2	1
allende	1	1
aller	1
allergi	1	2
allergier	1	2
allergiker	1	1
allergisk	1	1
allergiska	1	1
allesammans	1	2
alli	1
alliance	1	1
allians	1	2
alliansen	1	2
alliansens	1	2
allianser	1	2
alliansfrihet	2	2
alliera	1	2
allierad	1	2
allierade	1	2
allierades	1	2
allierat	1	2
alligator	2	2
allihop	1	2
allihopa	1	2
allison	1
allman	1
allmogen	2
allmän	2
allmänbildad	2
allmänbildning	2
allmänhet	2
allmänheten	2
allmänhetens	2
allmänintresse	2
allmänläkare	2
allmänmedicin	2
allmänna	2
allmännyttan	2
allmännyttiga	2
allmänt	2
allo	2
allra	2
alls	1
allsköns	2
allsmäktig	2
allsmäktige	2
allsvensk	2
allsvenska	2
allsvenskan	2
allsvenskans	2
allsvenskt	2
allsång	2
allt	1
allteftersom	1	3
alltfler	1	1
alltför	1
alltid	2
alltifrån	1
alltihop	1	2
alltihopa	1	2
allting	2
alltjämt	1
alltmer	1	1
alltsammans	1	1
allvar	1
allvaret	2
allvarlig	2
allvarliga	2
allvarligare	2
allvarligaste	2
allvarligt	2
allvetande	2
ally	1
allätare	2
allé	1	1
allén	1	1
alm	1
alma	2
almanacka	2
almanackan	2
almedalen	2
almega	1	1
almgren	2
almi	1
almqvist	2
alnar	2
alnarp	2
aloe	2
alonso	1	1
alperna	1
alpin	1	1
alpina	1	1
alpine	1	1
alpint	1	1
als	1
alsace	1	1
alsing	2
alster	1
alstra	2
alstrar	2
alt	1
alta	2
altan	1	1
altanen	1	1
altare	2
altaret	2
alter	1
alternativ	1	3
alternativa	1	3
alternative	1	3
alternativen	1	3
alternativet	1	3
alternativt	1	3
alto	1
alton	1
altruism	1	2
aluminium	1	2
alv	1
alva	2
alvar	2
alvarez	1	1
alvaro	1	1
alvedon	1	2	o
alver	1
alverna	1
alves	2
alvesta	2
alvik	2
alvin	1	1
alzheimers	1
am	2
amadeus	1	2
amager	1	1
amalia	1	1
amanda	2	1
amandas	2	1
amatör	1	2
