хорошо	xərɐʂˈo
голова	ɡəɫɐvˈa
молоко	məɫɐkˈo
собака	sɐbˈakə
работа	rɐbˈotə
корова	kɐrˈovə
дорога	dɐrˈoɡə
сторона	stərɐnˈa
город	ɡˈorət
вода	vɐdˈa
нога	nɐɡˈa
рука	rʊkˈa
окно	ɐknˈo
письмо	pʲɪsʲmˈo
книга	knʲˈiɡə
вопрос	vɐprˈos
человек	t͡ɕɪɫɐvʲˈek
девушка	dʲˈevʊʂkə
ребёнок	rʲɪbʲˈɵnək
отец	ɐtʲˈet͡s
сестра	sʲɪstrˈa
дядя	dʲˈædʲə
тётя	tʲˈɵtʲə
пять	pʲætʲ
день	dʲenʲ
неделя	nʲɪdʲˈelʲə
восемь	vˈosʲɪmʲ
язык	jɪzˈɨk
яблоко	jˈabɫəkə
ехать	jˈexətʲ
юбка	jˈupkə
ёлка	jˈoɫkə
моё	mɐjˈɵ
идея	ɪdʲˈejə
россия	rɐsʲːˈijə
год	ɡot
народ	nɐrˈot
завод	zɐvˈot
глаз	ɡɫas
муж	muʂ
нож	noʂ
сад	sat
холод	xˈoɫət
любовь	lʲʊbˈofʲ
вокзал	vɐɡzˈaɫ
сделать	zʲdʲˈeɫətʲ
футбол	fʊdbˈoɫ
отдых	ˈodːɨx
боксёр	bɐksʲˈɵr
идёт	ɪdʲˈɵt
поёт	pɐjˈɵt
берёза	bʲɪrʲˈɵzə
мясо	mʲˈasə
взять	vzʲætʲ
люди	lʲˈʉdʲɪ
русский	rˈusːkʲɪj
пятиться	pʲˈætʲɪt͡sːə
детский	dʲˈet͡skʲɪj
отца	ɐt͡sˈa
тест	tɛst
кафе	kɐfˈɛ
отель	ɐtˈɛlʲ
интернет	ɪntɛrnˈɛt
модель	mɐdˈɛlʲ
энергия	ɪnˈɛrɡʲɪjə
красного	krˈasnəvə
большого	bɐlʲʂˈovə
этого	ˈɛtəvə
его	jɪvˈo
сегодня	sʲɪvˈodnʲə
ничего	nʲɪt͡ɕɪvˈo
что	ʂto
чтобы	ʂtˈobɨ
конечно	kɐnʲˈeʃnə
спасибо	spɐsʲˈibə
время	vrʲˈemʲə
имя	ˈimʲə
жизнь	ʐɨzʲnʲ
любить	lʲʉbʲˈitʲ
говорить	ɡəvɐrʲˈitʲ
хотеть	xɐtʲˈetʲ
делать	dʲˈeɫətʲ
знать	znatʲ
жить	ʐɨtʲ
петь	pʲetʲ
пить	pʲitʲ
брат	brat
мать	matʲ
друг	druk
хлеб	xlʲep
стол	stoɫ
рука	rʊkˈa
окно	ɐknˈo
солнце	sˈont͡sə
сердце	sʲˈert͡sə
здесь	zʲdʲesʲ
очень	ˈot͡ɕɪnʲ
женщина	ʐˈɛnɕːɪnə
мужчина	mʊɕːˈinə
счастье	ɕːˈæsʲtʲje
хочу	xɐt͡ɕˈu
сейчас	sʲɪt͡ɕˈas
семья	sʲɪmʲjˈa
друзья	drʊzʲjˈa
деньги	dʲˈenʲɡʲɪ
работать	rɐbˈotətʲ
понимать	pənʲɪmˈatʲ
читать	t͡ɕɪtˈatʲ
писать	pʲɪsˈatʲ
музыка	mˈuzɨkə
улица	ˈulʲɪt͡sə
машина	mɐʂˈɨnə
хорошая	xɐrˈoʂəjə
большой	bɐlʲʂˈoj
маленький	mˈalʲɪnʲkʲɪj
новый	nˈovɨj
старый	stˈarɨj
можно	mˈoʐnə
нужно	nˈuʐnə
теперь	tʲɪpʲˈerʲ
всегда	fsʲɪɡdˈa
потому	pətɐmˈu
жена	ʐɨnˈa
цена	t͡sɨnˈa
конец	kɐnʲˈet͡s
палец	pˈalʲɪt͡s
месяц	mʲˈesʲɪt͡s
заяц	zˈajɪt͡s
